organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,aru_task_status,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,species_individual_comments,task_comments
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,233828,2021-06-17 22:17:00,204232,Transcribed,180s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,2,2393349,1,Song,11.08,2.29,-57.59,f,,Hannah Phillips,1234,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,233828,2021-06-17 22:17:00,204232,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,2393344,1,Song,1.08,1.44,-56.9,f,,Hannah Phillips,1234,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,233828,2021-06-17 22:17:00,204232,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,3,2393347,1,Song,6.25,1.10,-53.82,f,,Hannah Phillips,1234,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,233828,2021-06-17 22:17:00,204232,Transcribed,180s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,3,2393376,1,Song,86.90,3.60,-47.54,f,,Hannah Phillips,1234,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,233828,2021-06-17 22:17:00,204232,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,2,2393346,1,Song,4.13,1.65,-59.19,f,,Hannah Phillips,1234,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,233828,2021-06-17 22:17:00,204232,Transcribed,180s,1SPT,UNPA,Unidentified Passerine,"",1,2393353,1,Song,110.68,4.31,-56.61,f,,Hannah Phillips,1234,confidence:To Be Checked,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,233828,2021-06-17 22:17:00,204232,Transcribed,180s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,1,2393343,1,Song,0.04,3.93,-58.33,f,,Hannah Phillips,1234,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,233828,2021-06-17 22:17:00,204232,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,4,2393357,1,Song,8.00,1.51,-52.14,f,,Hannah Phillips,1234,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,RBNU,Red-breasted Nuthatch,SITTA CANADENSIS,1,2311616,1,Song,289.33,3.38,-59.42,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,REVI,Red-eyed Vireo,VIREO OLIVACEUS,1,2311586,1,Song,0.36,2.84,-46.03,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,OVEN,Ovenbird,SEIURUS AUROCAPILLA,1,2311592,1,Song,17.58,3.05,-44.78,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,NOWA,Northern Waterthrush,PARKESIA NOVEBORACENSIS,1,2311591,1,Song,10.78,1.90,-58.26,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,LIRA,Light rain,"",1,2311603,1,Non-vocal,0.19,4.76,-45.3,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,REVI,Red-eyed Vireo,VIREO OLIVACEUS,2,2311583,1,Song,0.76,5.60,-45.33,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,1,2311581,1,Song,3.39,2.78,-45.76,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,2,2311611,1,Song,189.35,3.01,-48.71,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,3,2311613,1,Song,235.74,3.19,-51.53,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,1,2311593,1,Song,25.16,1.80,-46.49,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,2311585,1,Song,2.09,1.66,-46.08,f,,Brandon Law,22,,
BU,600,CL-C1001-11,65809,,-113.512000,55.262110,,,232822,2021-06-18 05:32:00,203222,Transcribed,300s,1SPT,MOWA,Mourning Warbler,GEOTHLYPIS PHILADELPHIA,1,2311597,1,Song,33.91,1.34,-47.31,f,,Brandon Law,22,,
